trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
nightbus-1,27:01:00,27:01:00,102,1,,,,
nightbus-1,27:01:00,27:01:00,103,1,,,,
nightbus-1,27:01:00,27:01:00,104,1,,,,
nightbus-1,27:01:00,27:01:00,105,1,,,,
nightbus-1,27:01:00,27:01:00,106,1,,,,
nightbus-1,27:01:00,27:01:00,107,1,,,,
nightbus-1,27:01:00,27:01:00,108,1,,,,
nightbus-1,27:01:00,27:01:00,109,1,,,,
nightbus-1,27:01:00,27:01:00,110,1,,,,
nightbus-1,27:01:00,27:01:00,111,1,,,,
nightbus-1,27:01:00,27:01:00,112,1,,,,
nightbus-1,27:01:00,27:01:00,113,1,,,,
nightbus-1,27:01:00,27:01:00,114,1,,,,
nightbus-1,27:01:00,27:01:00,115,1,,,,
nightbus-1,27:01:00,27:01:00,116,1,,,,
nightbus-1,27:01:00,27:01:00,117,1,,,,
nightbus-1,27:01:00,27:01:00,118,1,,,,
nightbus-1,27:01:00,27:01:00,119,1,,,,
nightbus-1,27:01:00,27:01:00,120,1,,,,
nightbus-1,27:01:00,27:01:00,121,1,,,,
nightbus-1,27:01:00,27:01:00,122,1,,,,
nightbus-1,27:01:00,27:01:00,123,1,,,,
nightbus-1,27:01:00,27:01:00,124,1,,,,
nightbus-1,27:01:00,27:01:00,125,1,,,,
nightbus-1,27:01:00,27:01:00,126,1,,,,
nightbus-1,27:01:00,27:01:00,127,1,,,,
nightbus-1,27:01:00,27:01:00,128,1,,,,
nightbus-1,27:01:00,27:01:00,129,1,,,,
nightbus-1,27:01:00,27:01:00,130,1,,,,
nightbus-1,27:01:00,27:01:00,131,1,,,,
nightbus-1,27:01:00,27:01:00,132,1,,,,
nightbus-1,27:01:00,27:01:00,133,1,,,,
nightbus-1,27:01:00,27:01:00,134,1,,,,
nightbus-1,27:01:00,27:01:00,135,1,,,,
nightbus-1,27:01:00,27:01:00,136,1,,,,
nightbus-1,27:01:00,27:01:00,137,1,,,,
nightbus-1,27:01:00,27:01:00,138,1,,,,
nightbus-1,27:01:00,27:01:00,139,1,,,,
nightbus-1,27:01:00,27:01:00,140,1,,,,
nightbus-1,27:01:00,27:01:00,141,1,,,,
nightbus-1,27:01:00,27:01:00,142,1,,,,
nightbus-1,27:01:00,27:01:00,143,1,,,,
nightbus-1,27:01:00,27:01:00,144,1,,,,
nightbus-1,27:01:00,27:01:00,145,1,,,,
nightbus-1,27:01:00,27:01:00,146,1,,,,
nightbus-1,27:01:00,27:01:00,147,1,,,,
nightbus-1,27:01:00,27:01:00,148,1,,,,
nightbus-1,27:01:00,27:01:00,149,1,,,,
nightbus-1,27:01:00,27:01:00,150,1,,,,
nightbus-1,27:01:00,27:01:00,151,1,,,,
nightbus-1,27:01:00,27:01:00,153,1,,,,
nightbus-1,27:01:00,27:01:00,154,1,,,,
nightbus-1,27:01:00,27:01:00,155,1,,,,
nightbus-1,27:01:00,27:01:00,156,1,,,,
nightbus-1,27:01:00,27:01:00,157,1,,,,
nightbus-1,27:01:00,27:01:00,158,1,,,,
nightbus-1,27:01:00,27:01:00,159,1,,,,
nightbus-1,27:01:00,27:01:00,160,1,,,,
nightbus-1,27:01:00,27:01:00,161,1,,,,
nightbus-1,27:01:00,27:01:00,162,1,,,,
nightbus-1,27:01:00,27:01:00,163,1,,,,
nightbus-1,27:01:00,27:01:00,164,1,,,,
nightbus-1,27:01:00,27:01:00,165,1,,,,
nightbus-1,27:01:00,27:01:00,166,1,,,,
nightbus-1,27:01:00,27:01:00,167,1,,,,
nightbus-1,27:01:00,27:01:00,168,1,,,,
nightbus-1,27:01:00,27:01:00,169,1,,,,
nightbus-1,27:01:00,27:01:00,170,1,,,,
nightbus-1,27:01:00,27:01:00,171,1,,,,
nightbus-1,27:01:00,27:01:00,172,1,,,,
nightbus-1,27:01:00,27:01:00,173,1,,,,
nightbus-1,27:01:00,27:01:00,174,1,,,,
nightbus-1,27:01:00,27:01:00,175,1,,,,
nightbus-1,27:01:00,27:01:00,176,1,,,,
nightbus-1,27:01:00,27:01:00,177,1,,,,
nightbus-1,27:01:00,27:01:00,178,1,,,,
nightbus-1,27:01:00,27:01:00,179,1,,,,
nightbus-1,27:01:00,27:01:00,180,1,,,,
nightbus-1,27:01:00,27:01:00,181,1,,,,
nightbus-1,27:01:00,27:01:00,182,1,,,,
nightbus-1,27:01:00,27:01:00,183,1,,,,
nightbus-1,27:01:00,27:01:00,184,1,,,,
nightbus-1,27:01:00,27:01:00,185,1,,,,
nightbus-1,27:01:00,27:01:00,186,1,,,,
nightbus-1,27:01:00,27:01:00,187,1,,,,
nightbus-1,27:01:00,27:01:00,188,1,,,,
nightbus-1,27:01:00,27:01:00,189,1,,,,
nightbus-1,27:01:00,27:01:00,190,1,,,,
nightbus-1,27:01:00,27:01:00,191,1,,,,
nightbus-1,27:01:00,27:01:00,192,1,,,,
nightbus-1,27:01:00,27:01:00,193,1,,,,
